id,value_2017,value_2016,value_2015,value_2014,value_2013,value_2012
06001,1.643835616438356,4.10958904109589,2.4657534246575343,1.9178082191780823,0.821917808219178,1.095890410958904
06005,1.095890410958904,1.36986301369863,2.191780821917808,2.73972602739726,0.547945205479452,5.47945205479452
06007,0.821917808219178,3.8356164383561646,2.191780821917808,3.0136986301369864,1.36986301369863,6.575342465753424
06009,3.287671232876712,6.027397260273973,4.931506849315069,1.095890410958904,0.547945205479452,3.5616438356164384
06011,0.0,0.0,0.0,0.0,0.0,0.0
06013,0.821917808219178,0.821917808219178,2.191780821917808,1.095890410958904,0.273972602739726,1.095890410958904
06017,6.8493150684931505,11.506849315068493,6.301369863013699,12.32876712328767,6.301369863013699,14.246575342465754
06019,22.465753424657535,22.73972602739726,21.36986301369863,24.383561643835616,24.65753424657534,27.945205479452056
06021,0.0,0.0,0.0,0.273972602739726,0.273972602739726,0.0
06023,0.273972602739726,0.0,0.0,0.0,0.0,0.0
06025,6.301369863013699,4.10958904109589,5.205479452054795,4.657534246575342,8.21917808219178,9.58904109589041
06027,0.821917808219178,1.36986301369863,0.821917808219178,0.821917808219178,0.821917808219178,1.9178082191780823
06029,29.315068493150687,24.383561643835616,21.91780821917808,31.780821917808222,22.465753424657535,30.136986301369863
06031,8.493150684931507,13.424657534246576,11.506849315068493,10.684931506849315,13.150684931506849,10.95890410958904
06033,0.0,0.0,0.0,0.0,0.0,0.821917808219178
06037,28.493150684931507,25.47945205479452,29.315068493150687,24.93150684931507,23.28767123287671,29.315068493150687
06039,9.04109589041096,11.232876712328768,9.58904109589041,13.424657534246576,13.972602739726028,17.534246575342465
06041,0.0,0.0,0.0,0.0,0.0,0.0
06043,3.0136986301369864,5.205479452054795,1.9178082191780823,6.027397260273973,5.47945205479452,11.78082191780822
06045,0.0,0.0,0.0,0.0,0.0,0.0
06047,4.383561643835616,7.671232876712329,7.9452054794520555,10.95890410958904,7.9452054794520555,6.575342465753424
06053,0.0,0.0,0.0,0.0,0.0,0.0
06055,0.547945205479452,0.0,0.0,0.0,0.547945205479452,0.0
06057,21.36986301369863,10.684931506849315,7.397260273972603,8.21917808219178,5.205479452054795,6.027397260273973
06059,7.123287671232877,3.5616438356164384,3.287671232876712,3.0136986301369864,1.9178082191780823,1.9178082191780823
06061,9.315068493150685,9.58904109589041,5.205479452054795,6.575342465753424,3.0136986301369864,11.232876712328768
06065,35.89041095890411,28.493150684931507,26.027397260273972,33.15068493150685,29.863013698630137,37.80821917808219
06067,4.931506849315069,9.04109589041096,5.47945205479452,10.41095890410959,4.931506849315069,15.068493150684931
06069,0.273972602739726,1.36986301369863,0.0,1.095890410958904,1.36986301369863,2.191780821917808
06071,37.26027397260274,35.06849315068493,30.958904109589042,32.602739726027394,33.6986301369863,36.43835616438356
06073,15.068493150684931,11.232876712328768,9.58904109589041,9.04109589041096,6.8493150684931505,6.575342465753424
06075,0.0,0.0,0.0,0.0,0.0,0.0
06077,1.36986301369863,5.205479452054795,5.205479452054795,4.657534246575342,1.36986301369863,9.58904109589041
06079,1.9178082191780823,1.9178082191780823,1.095890410958904,2.191780821917808,2.4657534246575343,9.04109589041096
06081,0.547945205479452,0.0,0.273972602739726,0.0,0.273972602739726,0.0
06083,0.821917808219178,0.821917808219178,0.273972602739726,1.643835616438356,0.821917808219178,0.821917808219178
06085,1.36986301369863,0.273972602739726,1.643835616438356,1.643835616438356,0.273972602739726,1.095890410958904
06087,0.273972602739726,0.0,0.0,0.0,0.0,0.273972602739726
06089,1.095890410958904,3.8356164383561646,3.287671232876712,1.643835616438356,0.547945205479452,1.36986301369863
06093,0.0,0.0,0.0,0.0,0.273972602739726,0.273972602739726
06095,0.821917808219178,0.547945205479452,0.273972602739726,0.273972602739726,0.547945205479452,1.095890410958904
06097,0.273972602739726,0.0,0.0,0.0,0.0,0.0
06099,9.04109589041096,7.9452054794520555,7.9452054794520555,9.863013698630137,6.301369863013699,15.068493150684931
06101,0.0,8.21917808219178,1.9178082191780823,2.4657534246575343,1.095890410958904,3.8356164383561646
06103,1.095890410958904,11.506849315068493,4.383561643835616,4.383561643835616,3.0136986301369864,4.383561643835616
06107,26.575342465753426,27.945205479452056,21.91780821917808,24.10958904109589,25.205479452054796,31.506849315068493
06109,2.191780821917808,12.32876712328767,3.0136986301369864,4.383561643835616,0.547945205479452,3.5616438356164384
06111,5.47945205479452,2.191780821917808,3.5616438356164384,4.10958904109589,2.73972602739726,8.493150684931507
06113,0.547945205479452,1.095890410958904,0.821917808219178,0.273972602739726,0.0,2.191780821917808
